date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:49:13	43796/43796	---M-Z	200	added ('OK')	text/html	etag:%223c6158f-ab14-613ccd32dab94-gzip%22	https://bootstrapget.com/demos/cube-admin-template/index.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/index.html	(from )
14:49:13	315/315	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jan%202025%2011:49:14%20GMT	https://bootstrapget.com/robots.txt		(from )
14:49:13	1974/1974	---M--	200	added ('OK')	image/svg+xml	etag:%223c61554-7b6-613ccd32d70fb%22	https://bootstrapget.com/demos/cube-admin-template/assets/images/favicon.svg	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/images/favicon.svg	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:14	85889/85889	---M-Z	200	added ('OK')	text/css	etag:%223c61583-14f81-613ccd32d9fdc-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/fonts/bootstrap/bootstrap-icons.min.css	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/fonts/bootstrap/bootstrap-icons.min.css	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:14	263074/263074	---M-Z	200	added ('OK')	text/css	etag:%223c61327-403a2-613ccd32b84c9-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/css/main.min.css	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/css/main.min.css	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:15	22015/22015	---M-Z	200	added ('OK')	text/css	etag:%223c61324-55ff-613ccd32b84c9-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/overlay-scroll/OverlayScrollbars.min.css	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:15	4447/4447	---M--	200	added ('OK')	image/svg+xml	etag:%223c61558-115f-613ccd32d74e3%22	https://bootstrapget.com/demos/cube-admin-template/assets/images/logo.svg	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/images/logo.svg	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:15	33719/33719	---M-Z	200	added ('OK')	text/html	etag:%223c60030-83b7-613ccd32b0bb0-gzip%22	https://bootstrapget.com/demos/cube-admin-template/orders.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/orders.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:15	38193/38193	---M-Z	200	added ('OK')	text/html	etag:%223c60037-9531-613ccd32b0f98-gzip%22	https://bootstrapget.com/demos/cube-admin-template/expenses.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/expenses.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
14:49:16	56034/56034	---M-Z	200	added ('OK')	text/html	etag:%223c6002d-dae2-613ccd32b07c8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/general-widgets.html	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/general-widgets.html	(from https://bootstrapget.com/demos/cube-admin-template/index.html)
